,Unnamed: 0.1,Unnamed: 0,survived,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,FamilySize,IsAlone,Age,sex_male,embarked_Q,embarked_S,pclass_2,pclass_3
64,64,64,0,-0.10463740114712752,0,0,0.4082334475616762,First,man,True,C,Cherbourg,no,True,-0.5609748304808925,1,3.367295829986474,True,False,False,False,False
65,65,65,1,-0.10463740114712752,1,1,-0.1800831698720664,Third,man,True,C,Cherbourg,yes,False,0.6792945838081278,0,3.367295829986474,True,False,False,False,True
66,66,66,1,-0.027787557825836348,0,0,-0.5368057694182641,Second,woman,False,F,Southampton,yes,True,-0.5609748304808925,1,3.4011973816621555,False,False,True,True,False
67,67,67,0,-0.7962859910387481,0,0,-0.7718965778779472,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,2.995732273553991,True,False,True,False,True
68,68,68,1,-0.9499856776813305,4,2,-0.798539974052802,Third,woman,False,C,Southampton,yes,False,3.1598334123861687,0,2.8903717578961645,False,False,True,False,True
69,69,69,0,-0.2583370877897099,2,0,-0.7165619336211217,Third,man,True,C,Southampton,no,False,0.6792945838081278,0,3.295836866004329,True,False,True,False,True
70,70,70,0,0.20276197213803718,0,0,-0.5368057694182641,Second,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.4965075614664802,True,False,True,True,False
71,71,71,0,-1.0268355210026217,5,2,0.936361092700485,Third,woman,False,C,Southampton,no,False,3.779968119530679,0,2.833213344056216,False,False,True,False,True
72,72,72,0,-0.6425863043961658,0,0,1.3924082286355355,Second,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.091042453358316,True,False,True,True,False
73,73,73,0,-0.2583370877897099,1,0,-0.23166125968823223,Third,man,True,C,Cherbourg,no,False,0.059159876663617626,0,3.295836866004329,True,False,False,False,True
74,74,74,1,0.20276197213803718,0,0,1.1248955097361595,Third,man,True,C,Southampton,yes,True,-0.5609748304808925,1,3.4965075614664802,True,False,True,False,True
75,75,75,0,-0.33518693111100106,0,0,-0.830854756854953,Third,man,True,F,Southampton,no,True,-0.5609748304808925,1,3.258096538021482,True,False,True,False,True
76,76,76,0,-0.10463740114712752,0,0,-0.8019236166026618,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
77,77,77,0,-0.10463740114712752,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
78,78,78,1,-2.192647644186609,0,2,0.4532263111425748,Second,child,False,C,Southampton,yes,False,0.6792945838081278,0,0.6043159668533296,True,False,True,True,False
79,79,79,1,0.04906228549545483,0,0,-0.37316263612134226,Third,woman,False,C,Southampton,yes,True,-0.5609748304808925,1,3.4339872044851463,False,False,True,False,True
80,80,80,0,-0.5657364610748746,0,0,-0.6811127586453682,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.1354942159291497,True,False,True,False,True
81,81,81,1,-0.027787557825836348,0,0,-0.6307359423566569,Third,man,True,C,Southampton,yes,True,-0.5609748304808925,1,3.4011973816621555,True,False,True,False,True
82,82,82,1,-0.10463740114712752,0,0,-0.8145709511162281,Third,woman,False,C,Queenstown,yes,True,-0.5609748304808925,1,3.367295829986474,False,True,False,False,True
83,83,83,0,-0.10463740114712752,0,0,0.940663265248102,First,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,False
84,84,84,1,-0.9499856776813305,0,0,-0.5368057694182641,Second,woman,False,C,Southampton,yes,True,-0.5609748304808925,1,2.8903717578961645,False,False,True,True,False
85,85,85,1,0.27961181545932834,3,0,-0.1423794216910609,Third,woman,False,C,Southampton,yes,False,1.299429290952638,0,3.5263605246161616,False,False,True,False,True
86,86,86,0,-1.0268355210026217,1,3,0.6233938271906204,Third,man,True,C,Southampton,no,False,1.9195639980971482,0,2.833213344056216,True,False,True,False,True
87,87,87,0,-0.10463740114712752,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
88,88,88,1,-0.48888661775358344,3,2,2.6987007794454887,First,woman,False,C,Southampton,yes,False,2.5396987052416584,0,3.1780538303479458,False,False,True,False,False
89,89,89,0,-0.41203677443229225,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.2188758248682006,True,False,True,False,True
90,90,90,0,-0.027787557825836348,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.4011973816621555,True,False,True,False,True
91,91,91,0,-0.719436147717457,0,0,-0.806763380796033,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.044522437723423,True,False,True,False,True
92,92,92,0,1.2786597786361138,1,0,1.2056809915054134,First,man,True,E,Southampton,no,False,0.059159876663617626,0,3.8501476017100584,True,False,True,False,False
93,93,93,0,-0.2583370877897099,1,2,0.11284358066326507,Third,man,True,C,Southampton,no,False,1.299429290952638,0,3.295836866004329,True,False,True,False,True
94,94,94,0,2.277707741812899,0,0,-0.8797405693934278,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,4.0943445622221,True,False,True,False,True
95,95,95,0,-0.10463740114712752,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
96,96,96,0,3.1999058616683933,0,0,0.6315110816648204,First,man,True,A,Cherbourg,no,True,-0.5609748304808925,1,4.276666119016055,True,False,False,False,False
97,97,97,1,-0.48888661775358344,0,1,1.241316266924983,First,man,True,D,Cherbourg,yes,False,0.059159876663617626,0,3.1780538303479458,True,False,False,False,False
98,98,98,1,0.35646165878061953,0,1,0.2228261499229997,Second,woman,False,C,Southampton,yes,False,0.059159876663617626,0,3.5553480614894135,False,False,True,True,False
99,99,99,0,0.35646165878061953,1,0,0.3444394801955362,Second,man,True,C,Southampton,no,False,0.059159876663617626,0,3.5553480614894135,True,False,True,True,False
100,100,100,0,-0.10463740114712752,0,0,-0.8019236166026618,Third,woman,False,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,False,False,True,False,True
101,101,101,0,-0.10463740114712752,0,0,-0.8019236166026618,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
102,102,102,0,-0.6425863043961658,0,1,1.443609675522841,First,man,True,D,Southampton,no,False,0.059159876663617626,0,3.091042453358316,True,False,True,False,False
103,103,103,0,0.27961181545932834,0,0,-0.7174492400289059,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.5263605246161616,True,False,True,False,True
104,104,104,0,0.5870111887444931,2,0,-0.798539974052802,Third,man,True,C,Southampton,no,False,0.6792945838081278,0,3.6375861597263857,True,False,True,False,True
105,105,105,0,-0.10463740114712752,0,0,-0.8019236166026618,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
106,106,106,1,-0.6425863043961658,0,0,-0.830854756854953,Third,woman,False,C,Southampton,yes,True,-0.5609748304808925,1,3.091042453358316,False,False,True,False,True
107,107,107,1,-0.10463740114712752,0,0,-0.8160407306065733,Third,man,True,C,Southampton,yes,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
108,108,108,0,0.6638610320657843,0,0,-0.8019236166026618,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.6635616461296463,True,False,True,False,True
109,109,109,1,-0.10463740114712752,1,0,0.2711522804976662,Third,woman,False,C,Queenstown,yes,False,0.059159876663617626,0,3.367295829986474,False,True,False,False,True
110,110,110,0,1.3555096219574048,0,0,1.0408277503255374,First,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.8712010109078907,True,False,True,False,False
111,111,111,0,-1.1421102859845584,1,0,-0.23166125968823223,Third,child,False,C,Cherbourg,no,False,0.059159876663617626,0,2.740840023925201,False,False,False,False,True
112,112,112,0,-0.5657364610748746,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.1354942159291497,True,False,True,False,True
113,113,113,0,-0.719436147717457,1,0,-0.5992616204389827,Third,woman,False,C,Southampton,no,False,0.059159876663617626,0,3.044522437723423,False,False,True,False,True
114,114,114,0,-0.9499856776813305,0,0,-0.23138736843472296,Third,woman,False,C,Cherbourg,no,True,-0.5609748304808925,1,2.8903717578961645,False,False,False,False,True
115,115,115,0,-0.6425863043961658,0,0,-0.798539974052802,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.091042453358316,True,False,True,False,True
116,116,116,0,3.1614809400077477,0,0,-0.8189865811572414,Third,man,True,C,Queenstown,no,True,-0.5609748304808925,1,4.269697449699962,True,True,False,False,True
117,117,117,0,-0.027787557825836348,1,0,0.1329851701219792,Second,man,True,C,Southampton,no,False,0.059159876663617626,0,3.4011973816621555,True,False,True,True,False
118,118,118,0,-0.41203677443229225,0,1,2.6363132839087284,First,man,True,B,Cherbourg,no,False,0.059159876663617626,0,3.2188758248682006,True,False,False,False,False
119,119,119,0,-2.1027333275006983,4,2,0.5286989276421437,Third,child,False,C,Southampton,no,False,3.1598334123861687,0,1.0986122886681096,False,False,True,False,True
120,120,120,0,-0.6425863043961658,2,0,1.3924082286355355,Second,man,True,C,Southampton,no,False,0.6792945838081278,0,3.091042453358316,True,False,True,True,False
121,121,121,0,-0.10463740114712752,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
122,122,122,0,0.24118689379868277,1,0,0.4894379098126231,Second,man,True,C,Cherbourg,no,False,0.059159876663617626,0,3.5115454388310208,True,False,False,True,False
123,123,123,1,0.24118689379868277,0,0,-0.3336984726090332,Second,woman,False,E,Southampton,yes,True,-0.5609748304808925,1,3.5115454388310208,False,False,True,True,False
124,124,124,0,1.893458525206443,0,1,1.443609675522841,First,man,True,D,Southampton,no,False,0.059159876663617626,0,4.007333185232471,True,False,True,False,False
125,125,125,1,-1.3342348942877864,1,0,-0.47227211715402734,Third,child,False,C,Cherbourg,yes,False,0.059159876663617626,0,2.5649493574615367,True,False,False,False,True
126,126,126,0,-0.10463740114712752,0,0,-0.8189865811572414,Third,man,True,C,Queenstown,no,True,-0.5609748304808925,1,3.367295829986474,True,True,False,False,True
127,127,127,1,-0.41203677443229225,0,0,-0.8933844909173265,Third,man,True,C,Southampton,yes,True,-0.5609748304808925,1,3.2188758248682006,True,False,True,False,True
128,128,128,1,-0.10463740114712752,1,1,0.19484336402527688,Third,woman,False,F,Cherbourg,yes,False,0.6792945838081278,0,3.367295829986474,False,False,False,False,True
129,129,129,0,1.2018099353148226,0,0,-0.9147445967366699,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.828641396489095,True,False,True,False,True
130,130,130,0,0.27961181545932834,0,0,-0.8019236166026618,Third,man,True,C,Cherbourg,no,True,-0.5609748304808925,1,3.5263605246161616,True,False,False,False,True
131,131,131,0,-0.719436147717457,0,0,-0.9050797531497122,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.044522437723423,True,False,True,False,True
132,132,132,0,1.3555096219574048,1,0,-0.2286058134653583,Third,woman,False,C,Southampton,no,False,0.059159876663617626,0,3.8712010109078907,False,False,True,False,True
133,133,133,1,-0.027787557825836348,1,0,0.3444394801955362,Second,woman,False,C,Southampton,yes,False,0.059159876663617626,0,3.4011973816621555,False,False,True,True,False
134,134,134,0,-0.33518693111100106,0,0,-0.3336984726090332,Second,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.258096538021482,True,False,True,True,False
135,135,135,0,-0.48888661775358344,0,0,-0.19287328396337328,Second,man,True,C,Cherbourg,no,True,-0.5609748304808925,1,3.1780538303479458,True,False,False,True,False
136,136,136,1,-0.7962859910387481,0,2,0.3552168481314282,First,woman,False,D,Southampton,yes,False,0.6792945838081278,0,2.995732273553991,False,False,True,False,False
137,137,137,0,0.5870111887444931,1,0,1.0620380556287106,First,man,True,C,Southampton,no,False,0.059159876663617626,0,3.6375861597263857,True,False,True,False,False
138,138,138,0,-1.0268355210026217,0,0,-0.6589770356240848,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,2.833213344056216,True,False,True,False,True
139,139,139,0,-0.41203677443229225,0,0,1.4685301291949246,First,man,True,B,Cherbourg,no,True,-0.5609748304808925,1,3.2188758248682006,True,False,False,False,False
140,140,140,0,-0.10463740114712752,0,2,-0.1800831698720664,Third,woman,False,C,Cherbourg,no,False,0.6792945838081278,0,3.367295829986474,False,False,False,False,True
141,141,141,1,-0.5657364610748746,0,0,-0.8189865811572414,Third,woman,False,C,Southampton,yes,True,-0.5609748304808925,1,3.1354942159291497,False,False,True,False,True
142,142,142,1,-0.41203677443229225,1,0,-0.1423794216910609,Third,woman,False,C,Southampton,yes,False,0.059159876663617626,0,3.2188758248682006,False,False,True,False,True
143,143,143,0,-0.7962859910387481,0,0,-0.9442940832331417,Third,man,True,C,Queenstown,no,True,-0.5609748304808925,1,2.995732273553991,True,True,False,False,True
144,144,144,0,-0.8731358343600393,0,0,-0.4507125974257932,Second,man,True,C,Southampton,no,True,-0.5609748304808925,1,2.9444389791664403,True,False,True,True,False
145,145,145,0,-0.7962859910387481,1,1,0.6904870950626278,Second,man,True,C,Southampton,no,False,0.6792945838081278,0,2.995732273553991,True,False,True,True,False
146,146,146,1,-0.1814872444684187,0,0,-0.8135961720983267,Third,man,True,C,Southampton,yes,True,-0.5609748304808925,1,3.332204510175204,True,False,True,False,True
147,147,147,0,-1.56478442425166,2,2,0.6233938271906204,Third,child,False,C,Southampton,no,False,1.9195639980971482,0,2.302585092994046,False,False,True,False,True
148,148,148,0,0.5485862670838475,0,2,0.3444394801955362,Second,man,True,F,Southampton,no,False,0.6792945838081278,0,3.624340932976365,True,False,True,True,False
149,149,149,0,0.9712604053509489,0,0,-0.3336984726090332,Second,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.7612001156935624,True,False,True,True,False
150,150,150,0,1.6629089952425695,0,0,-0.3693384839068557,Second,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.9512437185814275,True,False,True,True,False
151,151,151,1,-0.5657364610748746,1,0,1.2920564383571118,First,woman,False,C,Southampton,yes,False,0.059159876663617626,0,3.1354942159291497,False,False,True,False,False
152,152,152,0,2.00873329018838,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,4.034240638152395,True,False,True,False,True
153,153,153,0,0.8559856403690123,0,2,-0.2286058134653583,Third,man,True,C,Southampton,no,False,0.6792945838081278,0,3.725693427236653,True,False,True,False,True
154,154,154,0,-0.10463740114712752,0,0,-0.8719479292525482,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
155,155,155,0,1.6629089952425695,0,1,1.2090665177433995,First,man,True,C,Cherbourg,no,False,0.059159876663617626,0,3.9512437185814275,True,False,False,False,False
156,156,156,1,-1.0268355210026217,0,0,-0.8209591021193487,Third,woman,False,C,Queenstown,yes,True,-0.5609748304808925,1,2.833213344056216,False,True,False,False,True
157,157,157,0,0.04906228549545483,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.4339872044851463,True,False,True,False,True
158,158,158,0,-0.10463740114712752,0,0,-0.7165619336211217,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
159,159,159,0,-0.10463740114712752,8,2,1.3361591794576348,Third,man,True,C,Southampton,no,False,5.64037224096421,0,3.367295829986474,True,False,True,False,True
160,160,160,0,1.1249600919935314,0,1,-0.12717266791993012,Third,man,True,C,Southampton,no,False,0.059159876663617626,0,3.8066624897703196,True,False,True,False,True
161,161,161,1,0.8175607187083667,0,0,-0.1485253917280838,Second,woman,False,C,Southampton,yes,True,-0.5609748304808925,1,3.713572066704308,False,False,True,True,False
162,162,162,0,-0.2583370877897099,0,0,-0.8160407306065733,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.295836866004329,True,False,True,False,True
163,163,163,0,-0.9499856776813305,0,0,-0.7165619336211217,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,2.8903717578961645,True,False,True,False,True
164,164,164,0,-2.1795831708219895,4,1,0.7678594338107121,Third,child,False,C,Southampton,no,False,2.5396987052416584,0,0.6931471805599453,True,False,True,False,True
165,165,165,1,-1.56478442425166,0,2,0.11044794172866994,Third,child,False,C,Southampton,yes,False,0.6792945838081278,0,2.302585092994046,True,False,True,False,True
166,166,166,1,-0.10463740114712752,0,1,1.0976780669265336,First,woman,False,E,Southampton,yes,False,0.059159876663617626,0,3.367295829986474,False,False,True,False,False
167,167,167,0,1.2018099353148226,1,4,0.4146557174979072,Third,woman,False,C,Southampton,no,False,2.5396987052416584,0,3.828641396489095,False,False,True,False,True
168,168,168,0,-0.10463740114712752,0,0,0.34156737843370105,First,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,False
169,169,169,0,-0.10463740114712752,0,0,1.1248955097361595,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
170,170,170,0,2.4314074284554814,0,0,0.5975333003696796,First,man,True,B,Southampton,no,True,-0.5609748304808925,1,4.127134385045092,True,False,True,False,False
171,171,171,0,-1.949033640858116,4,1,0.457519539438721,Third,child,False,C,Queenstown,no,False,2.5396987052416584,0,1.6094379124341003,True,True,False,False,True
